CIVIC_CENTRE,MARRIAGE_LICENSES,year,month
ET,80,2011,01
NY,136,2011,01
SC,159,2011,01
TO,367,2011,01
ET,109,2011,02
NY,150,2011,02
SC,154,2011,02
TO,383,2011,02
ET,177,2011,03
NY,231,2011,03
SC,213,2011,03
TO,589,2011,03
ET,178,2011,04
NY,277,2011,04
SC,261,2011,04
TO,660,2011,04
ET,263,2011,05
NY,376,2011,05
SC,375,2011,05
TO,871,2011,05
ET,255,2011,06
NY,365,2011,06
SC,334,2011,06
TO,870,2011,06
ET,238,2011,07
NY,364,2011,07
SC,352,2011,07
TO,989,2011,07
ET,257,2011,08
NY,366,2011,08
SC,345,2011,08
TO,965,2011,08
ET,152,2011,09
NY,255,2011,09
SC,276,2011,09
TO,638,2011,09
ET,126,2011,10
NY,201,2011,10
SC,218,2011,10
TO,468,2011,10
ET,103,2011,11
NY,191,2011,11
SC,182,2011,11
TO,340,2011,11
ET,109,2011,12
NY,171,2011,12
SC,149,2011,12
TO,356,2011,12
ET,115,2012,01
NY,176,2012,01
SC,171,2012,01
TO,440,2012,01
ET,134,2012,02
NY,195,2012,02
SC,160,2012,02
TO,390,2012,02
ET,183,2012,03
NY,234,2012,03
SC,243,2012,03
TO,567,2012,03
ET,194,2012,04
NY,225,2012,04
SC,252,2012,04
TO,561,2012,04
ET,217,2012,05
NY,294,2012,05
SC,332,2012,05
TO,807,2012,05
ET,262,2012,06
NY,353,2012,06
SC,340,2012,06
TO,888,2012,06
ET,269,2012,07
NY,404,2012,07
SC,371,2012,07
TO,971,2012,07
ET,251,2012,08
NY,353,2012,08
SC,346,2012,08
TO,980,2012,08
ET,132,2012,09
NY,233,2012,09
SC,215,2012,09
TO,563,2012,09
ET,156,2012,10
NY,208,2012,10
SC,215,2012,10
TO,486,2012,10
ET,85,2012,11
NY,180,2012,11
SC,170,2012,11
TO,391,2012,11
ET,99,2012,12
NY,163,2012,12
SC,158,2012,12
TO,365,2012,12
ET,91,2013,01
NY,169,2013,01
SC,138,2013,01
TO,365,2013,01
ET,90,2013,02
NY,163,2013,02
SC,126,2013,02
TO,346,2013,02
ET,130,2013,03
NY,217,2013,03
SC,188,2013,03
TO,455,2013,03
ET,177,2013,04
NY,298,2013,04
SC,219,2013,04
TO,666,2013,04
ET,223,2013,05
NY,310,2013,05
SC,300,2013,05
TO,748,2013,05
ET,212,2013,06
NY,286,2013,06
SC,303,2013,06
TO,778,2013,06
ET,258,2013,07
NY,450,2013,07
SC,319,2013,07
TO,972,2013,07
ET,244,2013,08
NY,324,2013,08
SC,322,2013,08
TO,931,2013,08
ET,157,2013,09
NY,232,2013,09
SC,233,2013,09
TO,607,2013,09
ET,121,2013,10
NY,163,2013,10
SC,208,2013,10
TO,448,2013,10
ET,92,2013,11
NY,162,2013,11
SC,140,2013,11
TO,315,2013,11
ET,89,2013,12
NY,146,2013,12
SC,130,2013,12
TO,314,2013,12
ET,85,2014,01
NY,186,2014,01
SC,139,2014,01
TO,375,2014,01
ET,93,2014,02
NY,134,2014,02
SC,126,2014,02
TO,364,2014,02
ET,151,2014,03
NY,201,2014,03
SC,180,2014,03
TO,530,2014,03
ET,151,2014,04
NY,240,2014,04
SC,229,2014,04
TO,674,2014,04
ET,219,2014,05
NY,318,2014,05
SC,298,2014,05
TO,847,2014,05
ET,240,2014,06
NY,309,2014,06
SC,315,2014,06
TO,942,2014,06
ET,252,2014,07
NY,348,2014,07
SC,338,2014,07
TO,1024,2014,07
ET,239,2014,08
NY,351,2014,08
SC,288,2014,08
TO,967,2014,08
ET,169,2014,09
NY,228,2014,09
SC,225,2014,09
TO,658,2014,09
ET,126,2014,10
NY,180,2014,10
SC,206,2014,10
TO,489,2014,10
ET,77,2014,11
NY,138,2014,11
SC,111,2014,11
TO,347,2014,11
ET,109,2014,12
NY,162,2014,12
SC,157,2014,12
TO,357,2014,12
ET,123,2015,01
NY,140,2015,01
SC,149,2015,01
TO,327,2015,01
ET,108,2015,02
NY,159,2015,02
SC,130,2015,02
TO,333,2015,02
ET,155,2015,03
NY,224,2015,03
SC,222,2015,03
TO,559,2015,03
ET,149,2015,04
NY,273,2015,04
SC,257,2015,04
TO,665,2015,04
ET,245,2015,05
NY,307,2015,05
SC,306,2015,05
TO,805,2015,05
ET,268,2015,06
NY,386,2015,06
SC,346,2015,06
TO,927,2015,06
ET,317,2015,07
NY,387,2015,07
SC,390,2015,07
TO,1090,2015,07
ET,264,2015,08
NY,336,2015,08
SC,325,2015,08
TO,930,2015,08
ET,174,2015,09
NY,251,2015,09
SC,253,2015,09
TO,713,2015,09
ET,135,2015,10
NY,211,2015,10
SC,186,2015,10
TO,478,2015,10
ET,91,2015,11
NY,176,2015,11
SC,149,2015,11
TO,342,2015,11
ET,104,2015,12
NY,169,2015,12
SC,144,2015,12
TO,335,2015,12
ET,92,2016,01
NY,156,2016,01
SC,131,2016,01
TO,346,2016,01
ET,123,2016,02
NY,170,2016,02
SC,173,2016,02
TO,364,2016,02
ET,155,2016,03
NY,197,2016,03
SC,204,2016,03
TO,517,2016,03
ET,197,2016,04
